iter	Passed	Remaining
419	1819	2512
420	1824	2509
421	1830	2507
422	1832	2499
423	1837	2496
424	1840	2489
425	1845	2487
426	1847	2479
427	1849	2471
428	1855	2469
429	1860	2466
430	1866	2463
431	1867	2455
432	1871	2450
433	1873	2442
434	1878	2440
435	1880	2432
436	1886	2429
437	1889	2424
438	1895	2421
439	1900	2419
440	1902	2411
441	1904	2403
442	1905	2395
443	1908	2389
444	1913	2386
445	1919	2384
446	1925	2381
447	1927	2375
448	1933	2373
449	1935	2365
450	1939	2360
451	1941	2354
452	1947	2351
453	1952	2348
454	1955	2341
455	1958	2336
456	1961	2330
457	1963	2323
458	1967	2318
459	1968	2311
460	1974	2308
461	1976	2302
462	1982	2299
463	1985	2293
464	1987	2287
465	1993	2284
466	1995	2277
467	2001	2274
468	2004	2270
469	2010	2267
470	2012	2260
471	2015	2254
472	2017	2248
473	2023	2245
474	2025	2238
475	2031	2235
476	2036	2233
477	2039	2227
478	2043	2222
479	2045	2216
480	2051	2213
481	2053	2206
482	2054	2199
483	2060	2196
484	2063	2190
485	2065	2184
486	2067	2178
487	2073	2175
488	2079	2172
489	2084	2169
490	2090	2167
491	2093	2161
492	2098	2158
493	2104	2155
494	2106	2149
495	2112	2146
496	2115	2140
497	2118	2135
498	2124	2133
499	2130	2130
500	2132	2123
501	2134	2117
502	2140	2114
503	2142	2108
504	2144	2102
505	2150	2099
506	2152	2093
507	2154	2086
508	2156	2080
509	2162	2077
510	2164	2071
511	2170	2068
512	2174	2064
513	2176	2057
514	2182	2054
515	2184	2048
516	2189	2045
517	2195	2042
518	2196	2036
519	2198	2029
520	2205	2027
521	2207	2021
522	2209	2015
523	2215	2012
524	2220	2009
525	2222	2003
526	2229	2000
527	2235	1998
528	2241	1995
529	2243	1989
530	2248	1986
531	2254	1983
532	2256	1977
533	2262	1974
534	2268	1971
535	2270	1965
536	2272	1959
537	2278	1956
538	2280	1950
539	2286	1947
540	2288	1941
541	2294	1938
542	2296	1932
543	2298	1926
544	2300	1920
545	2305	1917
546	2309	1912
547	2311	1906
548	2313	1900
549	2319	1897
550	2325	1894
551	2331	1891
552	2333	1886
553	2339	1883
554	2345	1880
555	2350	1877
556	2352	1871
557	2355	1865
558	2360	1862
559	2362	1856
560	2368	1853
561	2373	1849
562	2379	1846
563	2384	1843
564	2388	1839
565	2394	1836
566	2400	1833
567	2404	1828
568	2407	1823
569	2413	1820
570	2416	1815
571	2418	1809
572	2423	1806
573	2429	1802
574	2435	1799
575	2436	1793
576	2438	1787
577	2444	1784
578	2446	1778
579	2448	1772
580	2453	1769
581	2458	1766
582	2464	1762
583	2470	1759
584	2476	1756
585	2482	1753
586	2487	1750
587	2489	1744
588	2491	1738
589	2497	1735
590	2498	1729
591	2504	1725
592	2509	1722
593	2511	1716
594	2517	1713
595	2523	1710
596	2525	1704
597	2527	1698
598	2532	1695
599	2538	1692
600	2544	1689
601	2549	1685
602	2552	1680
603	2554	1674
604	2556	1668
605	2561	1665
606	2567	1662
607	2573	1659
608	2579	1656
609	2585	1652
610	2586	1646
611	2592	1643
612	2597	1639
613	2603	1636
614	2604	1630
615	2606	1624
616	2612	1621
617	2614	1616
618	2620	1612
619	2625	1609
620	2627	1603
621	2632	1600
622	2634	1594
623	2636	1588
624	2642	1585
625	2648	1582
626	2654	1579
627	2657	1573
628	2663	1570
629	2665	1565
630	2667	1559
631	2673	1556
632	2679	1553
633	2685	1550
634	2690	1546
635	2696	1543
636	2703	1540
637	2709	1537
638	2715	1534
639	2721	1531
640	2727	1527
641	2729	1522
642	2731	1516
643	2737	1513
644	2743	1509
645	2749	1506
646	2754	1502
647	2756	1497
648	2762	1494
649	2764	1488
650	2771	1485
651	2777	1482
652	2780	1477
653	2786	1473
654	2787	1468
655	2789	1463
656	2791	1457
657	2794	1452
658	2799	1448
659	2805	1445
660	2811	1441
661	2817	1438
662	2823	1435
663	2828	1431
664	2830	1425
665	2832	1420
666	2838	1417
667	2844	1413
668	2850	1410
669	2856	1406
670	2862	1403
671	2868	1399
672	2870	1394
673	2872	1389
674	2877	1385
675	2883	1382
676	2885	1376
677	2887	1371
678	2893	1367
679	2899	1364
680	2905	1360
681	2910	1357
682	2912	1351
683	2915	1346
684	2917	1341
685	2923	1338
686	2928	1334
687	2934	1330
688	2936	1325
689	2942	1322
690	2948	1318
691	2954	1314
692	2959	1311
693	2965	1307
694	2971	1303
695	2973	1298
696	2979	1295
697	2981	1290
698	2983	1284
699	2989	1281
700	2995	1277
701	2997	1272
702	3000	1267
703	3002	1262
704	3004	1257
705	3006	1252
706	3012	1248
707	3014	1243
708	3020	1239
709	3023	1234
710	3029	1231
711	3031	1226
712	3037	1222
713	3042	1218
714	3044	1213
715	3050	1209
716	3056	1206
717	3062	1202
718	3067	1198
719	3073	1195
720	3079	1191
721	3085	1188
722	3091	1184
723	3097	1180
724	3102	1176
725	3108	1173
726	3113	1169
727	3119	1165
728	3125	1161
729	3131	1158
730	3135	1153
731	3141	1150
732	3147	1146
733	3150	1141
734	3152	1136
735	3157	1132
736	3164	1129
737	3170	1125
738	3176	1121
739	3182	1118
740	3184	1113
741	3190	1109
742	3196	1105
743	3202	1102
744	3205	1097
745	3207	1092
746	3213	1088
747	3219	1084
748	3221	1079
749	3227	1075
750	3233	1071
751	3238	1068
752	3244	1064
753	3249	1060
754	3255	1056
755	3260	1052
756	3266	1048
757	3271	1044
758	3276	1040
759	3282	1036
760	3285	1031
761	3289	1027
762	3295	1023
763	3297	1018
764	3300	1013
765	3306	1009
766	3311	1006
767	3314	1001
768	3319	997
769	3325	993
770	3330	989
771	3336	985
772	3338	980
773	3343	976
774	3345	971
775	3350	967
776	3356	963
777	3358	958
778	3360	953
779	3365	949
780	3370	945
781	3372	940
782	3378	936
783	3383	932
784	3388	928
785	3394	924
786	3396	919
787	3401	915
788	3407	911
789	3409	906
790	3414	902
791	3420	898
792	3425	894
793	3431	890
794	3436	886
795	3439	881
796	3445	877
797	3447	872
798	3453	868
799	3454	863
800	3460	859
801	3465	855
802	3471	851
803	3476	847
804	3481	843
805	3486	839
806	3492	835
807	3494	830
808	3499	826
809	3504	822
810	3510	818
811	3512	813
812	3518	809
813	3521	804
814	3527	800
815	3529	795
816	3534	791
817	3537	787
818	3543	783
819	3549	779
820	3553	774
821	3558	770
822	3564	766
823	3569	762
824	3572	757
825	3574	752
826	3576	748
827	3581	743
828	3583	739
829	3589	735
830	3591	730
831	3593	725
832	3596	721
833	3598	716
834	3604	712
835	3609	708
836	3614	703
837	3620	699
838	3621	695
839	3627	690
840	3631	686
841	3633	681
842	3638	677
843	3644	673
844	3649	669
845	3655	665
846	3660	661
847	3664	656
848	3669	652
849	3672	648
850	3674	643
851	3679	639
852	3685	635
853	3689	630
854	3694	626
855	3696	621
856	3702	617
857	3707	613
858	3712	609
859	3715	604
860	3717	600
861	3719	595
862	3725	591
863	3727	586
864	3731	582
865	3736	578
866	3741	573
867	3744	569
868	3747	564
869	3749	560
870	3752	555
871	3754	551
872	3756	546
873	3758	541
874	3764	537
875	3770	533
876	3775	529
877	3781	525
878	3783	520
879	3785	516
880	3787	511
881	3793	507
882	3799	503
883	3801	498
884	3803	494
885	3805	489
886	3809	485
887	3810	480
888	3816	476
889	3818	471
890	3824	467
891	3829	463
892	3831	459
893	3837	455
894	3841	450
895	3846	446
896	3848	441
897	3850	437
898	3852	432
899	3858	428
900	3863	424
901	3869	420
902	3874	416
903	3880	412
904	3884	407
905	3886	403
906	3891	399
907	3894	394
908	3896	390
909	3901	385
910	3903	381
