iter	RMSE
0	0.2820082914
1	0.2724014689
2	0.2637506125
3	0.255189203
4	0.2470591394
5	0.2399389026
6	0.2323082153
7	0.2255484109
8	0.2189698573
9	0.212633232
10	0.2067624094
11	0.2009851207
12	0.1957408361
13	0.1902550392
14	0.1846824554
15	0.1793605881
16	0.1745205329
17	0.1701667812
18	0.1655674362
19	0.1612192594
20	0.1576137986
21	0.1537746419
22	0.150690607
23	0.1476025163
24	0.1443628781
25	0.1414670041
26	0.1390522535
27	0.1361079964
28	0.1334142546
29	0.1310651634
30	0.1285994467
31	0.1262679801
32	0.1244131692
33	0.1223971238
34	0.1202577088
35	0.1186321214
36	0.1170832077
37	0.1150673249
38	0.1136971959
39	0.1123651945
40	0.1114344914
41	0.1098627902
42	0.1080262071
43	0.1070144669
44	0.1058427081
45	0.105353322
46	0.105002144
47	0.1035105501
48	0.1025386043
49	0.1019781479
50	0.100822079
51	0.09981739435
52	0.09869729494
53	0.09787720581
54	0.09753092502
55	0.09646692582
56	0.09551781081
57	0.09471139691
58	0.09396070138
59	0.09373602045
60	0.09311110093
61	0.09243432072
62	0.0918641523
63	0.09174779632
64	0.09163794766
65	0.09095093152
66	0.09084805814
67	0.09073066965
68	0.09066168565
69	0.09000665175
70	0.08948974727
71	0.08882110121
72	0.08875938152
73	0.08799906726
74	0.08764332866
75	0.08729988082
76	0.08726086826
77	0.08671497011
78	0.08665350768
79	0.08614400272
80	0.08567450102
81	0.08563145048
82	0.08510663746
83	0.08488463229
84	0.08456753772
85	0.0845492588
86	0.08451990209
87	0.08425109617
88	0.08371024905
89	0.08367483695
90	0.0836540132
91	0.08363965324
92	0.08311503549
93	0.08310442302
94	0.08275079676
95	0.08273872495
96	0.08261376082
97	0.08215927279
98	0.08214868833
99	0.08181674544
100	0.08116498909
101	0.08115642477
102	0.08070885015
103	0.08044687762
104	0.08021054482
105	0.08006371416
106	0.07981552433
107	0.07969346058
108	0.07968804609
109	0.07928178496
110	0.07917270366
111	0.07913357561
112	0.07913013051
113	0.07912330295
114	0.0791228159
